"x"	"y"	"z"	"id"	"BHD"	"h"	"crownLength"	"crownArea"	"crownVolume"	"crownDiameter"	"tile"	"scanID"
-136,7874166	26,78156305	-26,806	132	11,83570621	7,37	0	0	0	0	"tile_1_16"	1
-142,1290338	22,18956	-30,474	133	4,524095238	10,28	8,88	6,9	10,5	3,1	"tile_1_15"	1
-137,7106406	25,99747796	-27,209	134	14,84414159	15,24	7,34	10,4	17,6	3,9	"tile_1_16"	1
-114,4670157	3,089055828	-29,754	135	31,44268387	24,29	13,49	20	42,7	5,3	"tile_3_14"	1
-141,701928	21,3463554	-30,339	136	8,690012422	9,64	0	0	0	0	"tile_1_15"	1
-105,0155863	-2,474846782	-28,553	137	34,60701149	23,62	8,57	19	28,3	5,6	"tile_3_14"	1
-79,18177746	-0,863592687	-18,137	138	26,24698507	25,99	18,34	16,5	35,2	4,9	"tile_4_14"	1
-81,1221081	-1,584601459	-19,511	139	24,50745543	24	15,5	14,2	28,7	4,6	"tile_4_14"	1
-104,7369973	-11,036488	-33,433	140	17,7432	22,43	9,58	9,3	16,5	3,8	"tile_3_14"	1
-131,4208989	-20,72389068	-55,657	141	50	34,22	31,07	44,3	137	7,8	"tile_2_13"	1
-82,02582084	11,81442517	-14,162	142	21,81461538	10,86	0	0	0	0	"tile_4_15"	1
-120,2893756	2,170536	-32,079	143	28,1456381	24,54	16,59	14,1	29,3	4,5	"tile_2_14"	1
-120,3504086	2,467242381	-32,299	144	12,76066667	17,23	6,13	6,2	11,1	3	"tile_2_14"	1
-88,24876887	-4,55623913	-24,542	145	29,30643478	27,87	20,67	20,8	44,3	5,4	"tile_4_14"	1
-48,66786672	-2,951657059	-9,688	146	19,52129412	17,42	0	0	0	0	"tile_6_14"	1
-81,09612506	-10,49467146	-24,398	147	11,22969958	7,63	0	0,6	0,4	1	"tile_4_14"	1
-61,33758024	-1,047960047	-13,799	148	32,74330353	24,19	22,84	19	40,4	5,2	"tile_5_14"	1
-106,381652	30,72395076	-13,688	149	17,91193011	12,45	0	0	0	0	"tile_3_16"	1
-105,3033725	12,42722298	-20,502	150	30,07649162	25,16	15,96	23,2	49,4	6,2	"tile_3_15"	1
-99,58944381	26,20018057	-13,089	151	41,27264762	27,41	24,61	34,4	55,3	7	"tile_3_16"	1
-95,79263771	22,8688861	-13,721	152	34,88392381	26,95	18,65	22,2	32	5,9	"tile_4_15"	1
-79,5839194	-12,99045888	-25,291	153	14,45919403	22,24	11,54	12	25,1	4,3	"tile_4_14"	1
-67,02013333	-7,576591494	-17,754	154	31,63954023	24,74	12,49	22,2	35,4	5,8	"tile_5_14"	1
-58,14822511	-4,562490917	-16,057	155	9,192559398	10,24	0	0	0	0	"tile_5_14"	1
-58,08199554	-4,775221692	-15,783	156	17,42950769	11,76	6,06	12,2	27,1	4,2	"tile_5_14"	1
-62,4371572	-5,012361549	-15,505	157	5,267300401	27,34	23,84	25	32,9	6,4	"tile_5_14"	1
-62,53088514	-5,477170286	-16,089	158	45,22257143	32,78	29,68	30,8	56,3	6,8	"tile_5_14"	1
-98,30435429	22,44477371	-15,065	159	29,0036	24,74	11,74	10,5	14,9	3,9	"tile_3_15"	1
-98,55234297	22,6355385	-15,285	160	14,25594862	10,79	0	2,6	2,4	2	"tile_3_15"	1
-109,9397232	31,13117878	-15,167	161	33,05476706	18,41	0	0	0	0	"tile_3_16"	1
-62,77667253	8,424634395	-8,169	162	49,22957512	29,73	0	0	0	0	"tile_5_15"	1
-75,05221475	7,276970612	-13,504	163	31,67022731	26,28	0	0	0	0	"tile_5_15"	1
-67,80028149	-14,77494451	-21,332	164	34,4815419	25,01	0	0	0	0	"tile_5_14"	1
-109,6292597	31,36325995	-14,865	165	7,265686375	12,97	7,77	8	11,7	6,2	"tile_3_16"	1
-67,07263196	-33,23436435	-34,191	166	26,00547826	25	15,3	16,8	25	5	"tile_5_13"	1
-56,9673176	-7,468983467	-16,68	167	33,26490667	31,14	25,54	23	46	5,9	"tile_5_14"	1
-62,21463833	-10,58340833	-18,992	168	28,83106667	24,65	0	0	0	0	"tile_5_14"	1
-73,81044704	-19,02125041	-27,214	169	20,19395581	24,16	18,01	19,7	51,6	5,2	"tile_5_13"	1
-63,61968274	-15,09176833	-21,597	170	30,96602707	28,26	25,61	21,4	55,9	5,5	"tile_5_14"	1
-70,60351343	-35,54075029	-36,577	171	27,14417143	23,99	12,19	13,9	30,2	4,4	"tile_5_13"	1
-56,438042	-13,8443148	-19,389	172	42,18944	24,48	0	0	0	0	"tile_5_14"	1
-55,96503665	-19,88684691	-22,317	173	17,86844792	23,41	0	0	0	0	"tile_6_13"	1
-59,82400495	-17,01670434	-22,966	174	11,10697634	7,91	0	0	0	0	"tile_5_13"	1
-104,7196933	23,91754875	-16,376	175	21,20873906	24,56	17,21	14,9	27,7	4,7	"tile_3_15"	1
-98,54314952	21,17504095	-15,56	176	33,0192	27,27	14,07	10,5	22	4,1	"tile_3_15"	1
-62,58778863	-6,970781943	-17,408	177	7,821116678	2,11	0	0	0	0	"tile_5_14"	1
-85,66470143	7,923578571	-16,847	178	11,43457143	9,57	0	0	0	0	"tile_4_15"	1
-69,00000942	-29,71273377	-32,56	179	27,01455072	24,67	0	0	0	0	"tile_5_13"	1
-70,03175821	-46,1783425	-42,349	180	25,16092857	25,27	20,42	15,6	36,5	4,7	"tile_5_12"	1
