"x"	"y"	"z"	"id"	"BHD"	"h"	"crownLength"	"crownArea"	"crownVolume"	"crownDiameter"
-31,45910438	115,7525987	-74,236	169	3,590247619	3,61	0	0	0	0
-26,01718061	121,7202521	-78,081	170	10,80324389	2,94	0	0	0	0
-54,44170973	109,6394584	-71,622	171	5,436340426	3,43	0	0	0	0
-106,9293573	80,351252	-67,775	172	29,844	21,14	8,44	13,5	21,4	4,4
-66,09138014	104,9671672	-70,687	173	8	3,2	0	0	0	0
5,750624681	-23,50333184	10,16	174	41,88875177	27,75	0	0	0	0
-107,9110969	82,70909714	-68,798	175	39,9888	31,76	19,36	27,4	46	6,2
-25,5937586	130,2994724	-81,65	176	52,88237244	35,31	26,21	129,3	298,5	14,9
-110,3984335	75,82409401	-65,718	177	43,784	33,1	26,05	62,9	177,8	9,4
-58,45055593	104,1829107	-69,578	178	12,33329165	27,37	0	0	0	0
-106,0132132	89,40781657	-70,507	179	51,57449378	30,31	0	0	0	0
-18,45054018	132,7106863	-81,307	180	27,74002673	27,56	0	0	0	0
-96,73072895	98,53306229	-74,441	181	52,6231619	32,41	0	0	0	0
-80,0400875	84,73800696	-64,264	182	7,525	7,09	2,49	0,5	0,4	1
-100,793763	57,17725771	-52,419	183	5,333409524	1,43	0	0	0	0
-96,22606223	100,1307978	-75,523	184	5,094180258	3,36	0	0	0	0
-98,31843957	100,5692092	-75,81	185	6,351419355	4,94	0	0	0	0
-115,0619992	85,04506755	-70,397	186	8,856980545	7,79	0	0	0	0
-100,3478996	63,67441974	-56,815	187	6,021914754	2,64	0	0	0	0
-99,5811527	64,05568506	-57,209	188	4,209613734	5,18	3,78	4,5	7,1	3
-98,615002	64,13211571	-57,266	189	7,026457143	3,99	0	0	0	0
-101,2184867	63,57803857	-56,62	190	4,53952381	4,6	0	0	0	0
-108,786355	77,02719052	-66,651	191	10	3,15	0	0	0	0
-114,5846122	82,96372814	-69,666	192	15,79043994	9,32	0	0	0	0
-110,2887047	86,10765266	-69,971	193	6,266045113	3,59	0	0	0	0
-103,1629812	85,29616635	-68,815	194	4,094243112	1,62	0	0	0	0
