"x";"y";"z";"id";"BHD";"h";"crownLength";"crownArea";"crownVolume";"crownDiameter";"f";"v"
-204,6753769;7,81709932;-103,296;201;22,85355102;25,51;0;0;0;0;0,505270646188687;0,528727367456205
-201,3172112;6,307155238;-103,177;202;18,65131429;20,62;9,22;6,7;10,7;3,1;0,517392677779529;0,29148600049233
-204,0313846;2,316842101;-101,778;203;19,38937815;23,39;16,34;9,1;18,6;3,8;0,520277310441228;0,359321125354757
-193,9316835;-5,719890638;-99,855;204;12,40455927;11,16;0;0;0;0;0,533449572015843;0,0719465749671601
-221,0933854;-26,73598527;-91,501;205;30,98181081;27,11;18,61;19,2;40;5,2;0,470854098087941;0,962319638672986
-216,4528501;-22,85075067;-93,934;206;10,61108571;1,83;0;0;0;0;0,479453878056957;0,00775903037240505
-201,8689373;8,030268;-103,574;207;27,4632;28,43;0;0;0;0;0,489123585611194;0,823735201326945
-215,79177;-23,16713;-93,934;208;22,344;26,18;14,28;9,6;11,4;3,8;0,509638338167458;0,5231707558673
-219,1083294;-19,49447614;-94,189;209;17,31680687;19,29;10,99;3,1;5,7;2,3;0,522494813835282;0,237377591964138
-194,3173463;-1,169488955;-101,587;210;7,526865672;16,64;8,54;5,9;9,6;3;0,562727808877388;0,041664858565958
-209,9731626;-30,9271516;-92,516;211;33,23225003;28,73;22,48;34;58,3;6,9;0,466141888500254;1,16161746242935
-215,2617404;-15,4989625;-96,81;212;17,19463625;26,09;15,79;8,2;18,7;3,4;0,53926662296985;0,32670327442951
-214,479466;-20,855492;-94,651;213;28,0964;25,71;14,31;12,4;31,9;4,5;0,479536670938663;0,764390245572159
-193,223309;-4,081046276;-100,9;214;9,470259414;12,92;5,97;4,3;6,8;2,5;0,559272152065227;0,0508978387084629
-211,9314042;-21,32083609;-95,285;215;25,43820215;24,79;13,24;14,2;32,7;4,4;0,489773869096016;0,617070588454657
-193,561547;-2,40671973;-101,205;216;13,04745946;6,49;0;0;0;0;0,484035053689744;0,0420013553241834
-190,4083491;-0,741682667;-102,439;217;4,947893333;7,52;0;0;0;0;0,591859790174195;0,00855790014608616
4,085782286;-4,969451429;3,115;218;10,68685714;23,14;15,29;26,3;70,3;6,1;0,558378187211761;0,115899533557113
-200,8955075;7,387232553;-103,611;219;8,003554702;25,28;0;0;0;0;0,561033007603731;0,0713544723914422
-202,9976182;4,576094476;-102,696;220;11,66958095;22,64;15,74;9,3;19,7;3,5;0,559357654635617;0,135446070966267
-206,6444986;4,524763143;-102,262;221;17,69177143;20,58;13,73;3,6;5,8;2,5;0,523792306335891;0,264994589289355
-206,4463724;-1,983576;-100,421;222;19,94761905;7,22;0;0;0;0;0,382428418679493;0,0862897812449515
-210,0804282;1,083552571;-101,371;223;47,96940952;32,84;0;0;0;0;0,431572283822961;2,56138770670873
-205,6392856;-4,67622579;-99,661;224;9,246130146;10,64;0;0;0;0;0,559890521531477;0,0399995061105759
-200,0243524;-4,377107887;-99,999;225;46,57022535;29,46;17,76;29,3;52,1;6,6;0,427238086595328;2,14392339872217
-212,8291753;4,253057209;-101,504;226;33,97534884;29,55;19,05;30,1;83,3;6,7;0,465333891535368;1,2466366774152
-215,148004;6,519642;-101,76;227;20,974;24,96;0;0;0;0;0,514558874923035;0,443743559616317
-212,558099;6,419872903;-102,289;228;22,32034409;16,85;11,7;12,7;31,1;4,3;0,476893950670481;0,314422322171979
-206,4140879;0,494701303;-101,026;229;11,92545042;29,03;18,68;22,5;34,4;5,5;0,563447526836923;0,182700601218073
-220,6672142;-9,387772521;-97,35;230;13,80268908;19,76;13,06;13,3;29;4,3;0,54757471772877;0,161900287470856
-218,6888286;-30,27840929;-90,902;231;8,377264516;26,43;25,48;20,4;27,3;5,7;0,561575984793757;0,081808801311221
-228,1394018;-0,692352774;-98,98;232;15,72310433;18,46;7,01;7,2;9,7;3,8;0,531463037078393;0,19048958489231
-205,0954365;1,481153805;-101,536;233;11,22375221;12,92;0;0;0;0;0,549305294778111;0,0702170080822596
-224,7975181;-22,16006066;-92,363;234;18,03398899;22,07;12,72;14,9;26,4;4,7;0,525568711005559;0,296282033777518
-220,6249424;-20,42393049;-93,416;235;23,10128821;25,78;17,23;14,7;38,2;4,7;0,50457744825176;0,545221567776495
-216,903137;-27,27312535;-92,309;236;29,14135849;21,1;16,65;15,9;32,1;4,7;0,459128860325693;0,646139835224378
-224,4987861;-24,77689163;-91,481;237;33,51455285;28,16;21,51;23,8;38,3;6;0,463704133110276;1,15194132246271
-229,5792565;-24,75968423;-90,888;238;17,99122628;20,05;11,2;12;20,5;4,2;0,520144037674853;0,265124226557086
-216,4169081;-16,70424503;-95,795;239;10,75268927;24,26;18,41;7,6;17;3,4;0,55898743190527;0,12314503682349
-217,9609659;-18,09885086;-94,944;240;28,63434286;20,28;0;0;0;0;0,458009754392298;0,598145722066763
-224,368289;-19,86077784;-93,244;241;10,46721569;28,22;27,02;9,6;10,3;4,1;0,558720309758822;0,13567620771714
-216,3020941;-21,33641094;-94,305;242;13,18875102;12,25;0;0;0;0;0,529971830786379;0,0886923364495665
-205,9595256;-23,47822898;-95,896;243;4,408897959;4,04;0;0;0;0;0,694955778735023;0,00428635870228512
-220,3392786;-30,00115;-90,498;244;21,09760784;26,65;24,55;30;54,2;6,9;0,517603312289599;0,482225944597802
-227,1890683;-15,35734295;-94,302;245;9,933410959;10,54;0;0;0;0;0,555221461424746;0,0453516971198683
-229,8866392;-26,76615676;-90,096;246;28,11386667;25,12;14,87;26,2;42,3;6;0,477798567943898;0,745067332057076
-217,049744;-8,965696809;-98,005;247;8,416212766;12,17;0;0,3;0,1;0,6;0,56392505874025;0,0381799420872655
-219,6281404;-8,213811135;-97,672;248;22,81567376;23,59;14,54;9,1;21,1;3,7;0,500430881221932;0,482645788136535
-222,3366076;-18,76795124;-93,84;249;35,18519774;26,52;16,02;16,2;34,5;5;0,453254219784683;1,16875975669815
-236,0335067;-9,939696667;-95,034;250;27,671;24,73;19,88;16;38,4;4,8;0,478717793975048;0,711939807769013
-225,4699988;-16,77634953;-94,044;251;20,15125581;30,61;21,96;31,4;44,8;7,1;0,529878588134958;0,517289679486515
-236,13188;-19,85771183;-91,311;252;25,36326667;23,25;16,4;23,8;69;6,1;0,485594909705792;0,57042340927254
-233,4910995;-24,30943193;-90,393;253;25,05132919;27,75;19,7;14,4;27,1;5;0,499029920600025;0,682560264791983
-208,6312812;0,732828804;-101,401;254;5,569720102;7,44;3,89;2,3;3,7;1,9;0,58911835309586;0,0106790374971898
-226,2664076;-6,964798758;-96,982;255;39,45522981;31,28;17,83;24,6;51,2;6;0,451105301890403;1,72521693185706
-222,736732;-27,31317467;-91;256;25,5904;24,41;14,06;14,3;26,4;4,9;0,487926930716852;0,612585339171857
-230,7379739;-8,381166;-96,036;257;28,26021429;26,55;22,45;19,4;52,4;5,2;0,4810322335492;0,80108663676754
-230,5354818;-13,69685807;-94,013;258;10,88576258;13,86;3,96;7,4;11,2;3,2;0,552530549031399;0,0712733418894463
-223,4281751;-13,8694419;-95,325;259;13,5977415;19,07;9,62;9,2;23,2;3,8;0,547399441996402;0,151592769146955
-242,6909254;-10,21049298;-94,429;260;12,23379672;5,76;0;0;0;0;0,492500971799066;0,0333458641325775
-245,948001;-9,322774212;-94,056;261;27,90829304;27,59;11,19;12,9;20,7;4,4;0,485189215566468;0,818878125199266
-232,4036155;-0,943541459;-98,207;262;39,91584;30,81;25,91;32,9;72;6,9;0,44869473680834;1,72990837489358
-222,2600311;-4,150789377;-98,485;263;7,755082294;9,36;4,36;4,2;5;2,4;0,569022771649747;0,0251575415307952
-234,7282164;-4,319816762;-97,227;264;29,93478095;21,77;0;0;0;0;0,458207378446127;0,70204113183049
-222,5731094;-21,99215805;-92,905;265;14,53580488;22,54;15,64;11,1;28,8;4,2;0,548520164745687;0,205170331477358
-226,9290224;-30,52668573;-89,264;266;19,41638629;24,96;0;0;0;0;0,523779944981841;0,387097294106705
-213,0489508;-13,49494446;-97,19;267;11,23460944;6,87;0;0;0;0;0,528501493555895;0,0359922333462369
-218,606458;-18,2564116;-94,312;268;20,11896;21,37;13,07;8,5;21,2;3,8;0,510055843234445;0,346515914343332
-240,884689;-1,541362372;-97,141;269;22,90115385;21,27;0;0;0;0;0,492613538966317;0,431597026331114
-222,2023853;-12,73728192;-96,016;270;22,09696804;0,02;0;0;0;0;-76,506700757951;-0,0586792732139595
-240,9828426;-4,194010043;-96,5;271;20,21891845;19,37;10,97;8,6;20,2;3,5;0,502542838244552;0,312542032081904
-217,2487334;-9,084890218;-97,846;272;17,24375787;24,19;12,04;12,7;29,4;4,3;0,535422211921914;0,302472548609665
-13,63365209;-10,46652947;-3,368;273;16,95708411;22,65;0;0;0;0;0,533939018333344;0,273119114112127
-225,9706667;-1,967130667;-98,557;274;28,61973333;24,35;16,55;17;48,9;4,9;0,473189499904328;0,741233623912468
-241,2032161;-6,719586595;-95,462;275;23,77522162;23,81;11,31;11;20,5;3,9;0,495738138402522;0,52402349111246
-241,4582733;-0,847944;-97,244;276;15,80643077;21,87;0;0;0;0;0,539572798978592;0,231556160226086
-233,6100227;-6,778194615;-96,347;277;29,10303846;22,8;14,75;10,3;20,1;3,8;0,465844303580238;0,706548834061406
-227,5296039;-3,218183616;-98,166;278;12,85528814;21,31;7,71;7,4;11,4;3,3;0,554917121953549;0,153484699084668
-220,1356751;-25,64556039;-92,23;279;11,11843871;9,54;5,44;5,7;7,9;2,9;0,542361401103665;0,0502359526963227
