"";"x";"y";"z";"id";"BHD";"h";"crownLength";"crownArea";"crownVolume";"crownDiameter";"f";"v"
"182";-33,90200533;38,077892;-11,203;182;38,78106667;28,24;25,59;30,6;69,9;11,1;0,445958728474765;1,48760881291381
"183";-30,13022465;74,95707623;-24,103;183;11,01771695;12,2;0;0;0;0;0,549434510799637;0,0639070644148367
"184";15,30486952;-7,384409079;3,36;184;10,49212698;4,16;0;0;0;0;0,532496639283389;0,0191525744449136
"185";12,14124811;58,60864384;-23,574;185;26,28892527;23,01;0;0;0;0;0,480079560989468;0,59960518596768
"186";-41,12023029;69,45784543;-20,165;186;38,98691429;29,23;19,48;25,3;47;6,1;0,447828030237914;1,56267151802736
"187";-39,94708;47,2035423;-13,548;187;30,52393103;24,46;0;0;0;0;0,465157500946164;0,832582522230808
"188";2,272677255;44,62548627;-18,229;188;31,58176471;27,33;20,88;18;27,3;5,1;0,469011774373086;1,00412099091577
"189";15,071228;50,05364867;-21,179;189;38,35333333;29,85;11,4;14;23,1;4,6;0,451290709751521;1,55631262294367
"190";17,11384762;57,61617762;-24,294;190;41,93685714;29,49;18,74;24,6;41,6;6;0,439710568033468;1,79111436847357
"191";-72,35607218;62,06468295;-14,497;191;29,29148718;28,32;17,67;14,5;32,4;4,6;0,480852079793586;0,917650854718213
"192";-49,32368813;55,59309447;-14,299;192;43,22466667;31,37;24,67;30;77,1;6,4;0,440514904148066;2,02781491232733
"193";-49,01965619;31,56280362;-6,083;193;39,69066667;27,71;21,71;31,9;58;7;0,441711897836991;1,51440589647762
"194";3,496487143;9,30790619;-3,407;194;27,80657143;25,58;12,58;20,4;40,5;5,9;0,480508459786779;0,746425291532515
"195";6,553818261;17,74402348;-7,529;195;33,78452174;22,39;12,64;17,7;44;5,3;0,444550577796437;0,892279067416308
"196";-0,797438422;-5,566874198;3,385;196;37,10202545;27,84;25,84;51,1;85,2;8,5;0,450318257671117;1,35542004990388
"197";3,380136494;33,76088273;-13,117;197;32,04984416;26,25;18,7;20;54,3;5,4;0,46424682647394;0,983150437980482
"198";-9,705519661;13,6998839;-4,408;198;26,83789831;25;14,4;22,8;43,6;6;0,483452010309737;0,683723121185093
"199";4,589364867;54,73682396;-21,609;199;33,27976911;30,05;14,65;19,1;36;5,4;0,468979825906525;1,22588329757804
"200";-47,88192993;29,78479136;-6,225;200;46,60673732;30,65;26,6;22;46,5;5,9;0,43006473481729;2,24880394825299
"201";-56,97934533;34,89067267;-7,086;201;31,81706667;30,75;0;0;0;0;0,475944478373452;1,163621053035
"202";20,5297461;41,93131086;-18,808;202;43,43939048;29,6;21,4;24,6;60,2;5,9;0,43579639477846;1,91175692135648
"203";-21,01931689;26,89236879;-8,803;203;28,8896965;26,33;21,28;35;67,5;7,2;0,477656411305096;0,824408214846595
"204";19,2323061;48,91868325;-21,22;204;34,81701299;25,49;12,94;35,8;60,9;7,1;0,451510736284149;1,09574833034581
"205";18,08561333;44,749968;-19,55;205;40,99211429;28,31;20,56;13,9;21;4,5;0,439420993103954;1,6417657444517
"206";23,60349056;48,88571366;-21,648;206;31,61923944;24,96;16,81;25,4;48,7;6,5;0,462168193730048;0,905810509494017
"207";-19,96701686;45,94188886;-16,225;207;26,83502857;24,4;18,2;23,6;48,4;5,9;0,481727298173871;0,664790935244215
"208";13,34580533;43,64156357;-18,771;208;33,35824363;27,54;15,29;22,9;24,7;5,7;0,462706296694995;1,11369322907368
"209";-25,13680838;44,78746125;-14,568;209;31,736275;28,49;15,99;26,3;49,8;6,2;0,471274859846695;1,0621075718677
"210";-22,8458478;60,23278102;-20,523;210;46,18233898;30,31;22,11;38,2;56,4;7,5;0,430322444791639;2,18485019992097
"211";-15,98004182;50,87960126;-18,244;211;29,81306667;24,79;0;0;0;0;0,469235904248342;0,812027890480181
"212";-13,07108112;73,40903133;-26,001;212;35,06200858;26,18;21,83;36,8;69,6;7,2;0,452706737139085;1,1443267879784
"213";-34,85120667;42,05612838;-12,398;213;36,17386667;28,58;12,88;21,6;34,2;5,5;0,455334622979896;1,33743488689656
"214";-14,55969029;20,64315829;-6,856;214;44,3192381;32,87;19,67;31,6;41,7;6,6;0,440760819663543;2,23499800073251
"215";1,432698941;3,759803302;0,48;215;28,69216199;22,2;17,5;22,3;47,7;5,8;0,465559116004654;0,668258111302267
"216";-28,10413946;38,28339161;-12,098;216;33,92860714;27,32;21,12;31,8;60,9;6,6;0,460011636038058;1,13624361519596
"217";1,260201084;52,07601506;-20,665;217;28,35412048;25,01;16,86;21,7;32,5;5,6;0,47638108935372;0,752298935137556
"218";1,176741159;80,64904652;-27,961;218;28,98055072;29,35;24,05;69,7;183,4;12,9;0,484469055009495;0,937944837549486
"219";5,220529088;56,81415747;-22,488;219;30,51824209;26,84;15,44;20,3;37,9;5,4;0,472050348579977;0,926786594104185
"220";12,92998;41,86055467;-17,997;220;35,8552;25,67;0;0;0;0;0,448357808183812;1,16210343832554
"221";-16,46422914;24,47725219;-8,325;221;40,99801905;31,2;18,45;23,6;47,2;5,8;0,446377832538988;1,83853897245351
"222";4,572123458;60,37650271;-23,353;222;30,8886729;24,55;21,2;22,9;44,6;5,8;0,463902803861388;0,853427974786391
"223";-10,32688876;16,98869429;-5,597;223;36,03950476;25,71;16,31;25,1;50,1;6;0,447836156015519;1,17454251152556
"224";-30,7173255;46,18926463;-14,508;224;26,828275;25,4;16,35;21,9;42,6;5,5;0,484611516742481;0,695829485122033
"225";-27,01506671;41,44397925;-13,422;225;31,07898137;28,86;17,41;17,8;34,9;5,4;0,474735011752629;1,03937202275961
"226";-6,804235;12,34823;-3,404;226;33,306;26,33;15,33;13,4;23,1;4,4;0,459610846602971;1,05432854591785
